"name","description","distinguishedname","managedby","whenCreated"
"WS-2387","Kelly Thompson - ThinkPad P50","CN=WS-2387,OU=Laptops,OU=Northern California,DC=wma-arch,DC=com","CN=Kelly Thompson,OU=Users,OU=Northern California,DC=wma-arch,DC=com","4/6/2017 8:01:31 AM"
"WS-2849","Ted Swan - ThinkPad P52s","CN=WS-2849,OU=Laptops,OU=Denver-JS,DC=wma-arch,DC=com","CN=Ted Swan,OU=Users,OU=Denver-JS,DC=wma-arch,DC=com","7/5/2018 11:49:04 AM"
"WS-2601","Brett R. Webster - ThinkPad X1 Carbon 4th","CN=WS-2601,OU=Laptops,OU=Chicago,DC=wma-arch,DC=com","CN=Brett Webster,OU=Users,OU=Chicago,DC=wma-arch,DC=com","7/27/2017 12:59:18 PM"
"WS-2058","Julio Gutierrez - W541","CN=WS-2058,OU=Laptops,OU=San Francisco,DC=wma-arch,DC=com","CN=Julio Gutierrez,OU=Users,OU=San Francisco,DC=wma-arch,DC=com","4/15/2015 1:55:13 PM"
"WS-2555","Laura Brooks - P51","CN=WS-2555,OU=Laptops,OU=Atlanta,DC=wma-arch,DC=com","CN=Laura Brooks,OU=Users,OU=Atlanta,DC=wma-arch,DC=com","5/21/2018 2:51:02 PM"
"WS-2557","Abby Seyfang - ThinkPad P51","CN=WS-2557,OU=Laptops,OU=Chicago,DC=wma-arch,DC=com",,"5/30/2018 9:28:15 AM"
"WS-2728","Kenric Billy - ThinkStation P510 - 32 Gb RAM","CN=WS-2728,OU=Computers,OU=Denver-JS,DC=wma-arch,DC=com","CN=Kenric Billy,OU=Users,OU=Denver-JS,DC=wma-arch,DC=com","7/10/2018 9:07:04 AM"
"WS-2844","Rhea Butler - ThinkPad X1 Carbon 6th","CN=WS-2844,OU=Laptops,OU=San Francisco,DC=wma-arch,DC=com","CN=Rhea Butler,OU=Users,OU=San Francisco,DC=wma-arch,DC=com","6/28/2018 11:10:01 AM"
"WS-2717","Sam Yowakim - ThinkPad P51","CN=WS-2717,OU=Laptops,OU=Northern California,DC=wma-arch,DC=com","CN=Samir Yowakim,OU=Users,OU=Northern California,DC=wma-arch,DC=com","3/29/2018 1:56:29 PM"
"WS-2716","Brian Nguyen - ThinkPad P51","CN=WS-2716,OU=Laptops,OU=Northern California,DC=wma-arch,DC=com","CN=Brian L. Nguyen,OU=Users,OU=Northern California,DC=wma-arch,DC=com","3/7/2018 9:35:37 AM"
"WS-2095","Kevin Lieberman - ThinkPad W541","CN=WS-2095,OU=Laptops,OU=San Francisco,DC=wma-arch,DC=com",,"2/27/2018 10:00:55 AM"
"WS-1741","Michelle Wong - HP Z400 Workstation","CN=WS-1741,OU=Computers,OU=Irvine,DC=wma-arch,DC=com","CN=Ryan Mu,OU=!Pending Deletion,DC=wma-arch,DC=com","7/5/2018 2:41:14 PM"
"WS-2850","Jim Stanard - ThinkPad P52s","CN=WS-2850,OU=Laptops,OU=Irvine,DC=wma-arch,DC=com","CN=James Stanard,OU=Users,OU=Irvine,DC=wma-arch,DC=com","7/5/2018 9:27:42 AM"
"WS-2847","Karen Shakman - P52s","CN=WS-2847,OU=Laptops,OU=Phoenix,DC=wma-arch,DC=com",,"7/3/2018 2:29:46 PM"
"WS-1997","Broken - W540","CN=WS-1997,OU=Laptops,OU=San Diego-Downtown,DC=wma-arch,DC=com",,"7/3/2018 10:43:14 AM"
"WS-2729","Deborah Lajiness - ThinkPad P52s","CN=WS-2729,OU=Laptops,OU=Seattle,DC=wma-arch,DC=com","CN=Deborah Lajiness,OU=Users,OU=Seattle,DC=wma-arch,DC=com","7/2/2018 12:12:54 PM"
"WS-2848","Christopher Polaski - ThinkPad P52s","CN=WS-2848,OU=Laptops,OU=Irvine,DC=wma-arch,DC=com","CN=Christopher Polaski,OU=Users,OU=Irvine,DC=wma-arch,DC=com","7/12/2018 1:57:39 PM"
"WS-2554","Mike Piraino - ThinkPad P51","CN=WS-2554,OU=Laptops,OU=Chicago,DC=wma-arch,DC=com","CN=Michael Piraino,OU=Users,OU=Chicago,DC=wma-arch,DC=com","5/17/2018 2:10:01 PM"
"WS-2653","Cat Vann - ThinkPad P52s","CN=WS-2653,OU=Laptops,OU=New York,DC=wma-arch,DC=com","CN=Catherine Vann,OU=Users,OU=New York,DC=wma-arch,DC=com","7/11/2018 7:46:51 AM"
"WS-2228","Phoenix - BOMGAR Jumpoint","CN=WS-2228,OU=BOMGAR Jumpoints,OU=Service Computers,OU=ADMIN,DC=wma-arch,DC=com",,"6/29/2016 5:10:08 PM"
"WS-2225","San Diego - BOMGAR Jumpoint","CN=WS-2225,OU=BOMGAR Jumpoints,OU=Service Computers,OU=ADMIN,DC=wma-arch,DC=com",,"6/22/2016 11:41:25 AM"
"WS-1805","Chloe Blottman - HP Z420 Workstation","CN=WS-1805,OU=Computers,OU=New York,DC=wma-arch,DC=com","CN=Michelle Olivo,OU=Users,OU=New York,DC=wma-arch,DC=com","1/24/2018 11:17:12 AM"
"WS-2219","Panama - BOMGAR Jumpoint","CN=WS-2219,OU=BOMGAR Jumpoints,OU=Service Computers,OU=ADMIN,DC=wma-arch,DC=com",,"6/1/2016 1:45:40 PM"
"WS-1830","Broken Spare - W520","CN=WS-1830,OU=Laptops,OU=Northern California,DC=wma-arch,DC=com",,"8/9/2012 2:04:59 PM"
"WS-2603","Tatyana Epstein - P51","CN=WS-2603,OU=Laptops,OU=New York,DC=wma-arch,DC=com","CN=Tatyana Epstein,OU=Users,OU=New York,DC=wma-arch,DC=com","8/28/2017 9:14:45 AM"
"WS-2400","Shauna Dack - ThinkPad P51","CN=WS-2400,OU=Laptops,OU=New York,DC=wma-arch,DC=com","CN=Shauna Dack,OU=Users,OU=New York,DC=wma-arch,DC=com","5/18/2018 12:12:20 PM"
"WS-2556","Christen Jaromin - ThinkPad P51","CN=WS-2556,OU=Laptops,OU=Chicago,DC=wma-arch,DC=com","CN=Christen Seelander,OU=Users,OU=Chicago,DC=wma-arch,DC=com","5/23/2018 7:18:05 AM"
"WS-1729","Kate McCracken - Z200","CN=WS-1729,OU=Computers,OU=Irvine,DC=wma-arch,DC=com","CN=Kate McCracken,OU=Users,OU=Irvine,DC=wma-arch,DC=com","7/16/2018 12:27:48 PM"
"WS-2852","Monica Munoz - ThinkPad P52s","CN=WS-2852,OU=Laptops,OU=Irvine,DC=wma-arch,DC=com","CN=Monica Munoz-Diaz,OU=Users,OU=Irvine,DC=wma-arch,DC=com","7/17/2018 9:18:17 AM"
